idpoint|longitude|latitude|sog|cog|ts|route
150|-4.780143|48.35954|0.3|358.3|1448383689|R_01
151|-4.780098|48.35954|0.2|51.7|1445686997|R_01
152|-4.780083|48.35954|0.1|24.7|1454687613|R_01
153|-4.780068|48.35954|0.2|61|1454686996|R_01
154|-4.796761|48.359543|13|308.7|1454159291|R_01
155|-4.780297|48.359543|0.4|320.7|1457628825|R_01
156|-4.780158|48.359547|0.5|354.8|1451926429|R_01
157|-4.781557|48.35955|6.9|116.9|1451234728|R_01
158|-4.785047|48.359554|10.5|67.2|1449220188|R_01
159|-4.780045|48.359554|0.3|55.6|1446137016|R_01
160|-4.78135|48.35956|0.4|267.2|1452519191|R_01
161|-4.780106|48.35956|0.3|317.1|1445964535|R_01
162|-4.780036|48.35956|0.1|86|1445877800|R_01
163|-4.780032|48.35956|0.2|62|1447519132|R_01
164|-4.780388|48.359562|0.7|312.6|1458499097|R_01
165|-4.780362|48.359566|0.8|305.1|1446137870|R_01
166|-4.780028|48.359566|0.1|51.2|1451062437|R_01
167|-4.780098|48.35957|0.4|34.8|1451576615|R_01
168|-4.781792|48.359573|5.9|124.5|1452184893|R_01
169|-4.780452|48.35958|0.7|328.9|1458896294|R_01
170|-4.780405|48.35958|0.9|305.7|1445358791|R_01
171|-4.780025|48.35958|0.1|86|1445878139|R_01
172|-4.78478|48.359592|10.8|72.5|1445791616|R_01
173|-4.781637|48.359592|4.3|120.4|1451925809|R_01
174|-4.781155|48.359592|3.9|122.6|1452789904|R_01
175|-4.784184|48.3596|9.4|229.1|1450717089|R_01
176|-4.780655|48.3596|2.9|278.5|1454760637|R_01
177|-4.780282|48.3596|0.9|322.3|1447088294|R_01
178|-4.781538|48.359608|5.1|123.2|1452609870|R_01
179|-4.795385|48.35961|13|138.9|1458388714|R_01
180|-4.780327|48.359634|0.7|341.4|1457081591|R_01
181|-4.781553|48.35964|4.5|110.5|1459007491|R_01
182|-4.780698|48.35964|2|325|1448200093|R_01
183|-4.780208|48.359642|1.2|339.7|1451828889|R_01
184|-4.784635|48.359653|11|242.2|1446990490|R_01
185|-4.784563|48.359653|10.7|232.2|1446901382|R_01
186|-4.78389|48.35966|8.5|226.1|1446743017|R_01
187|-4.793808|48.35967|12.3|125.1|1447427640|R_01
188|-4.780277|48.35967|1.3|337.6|1447174395|R_01
189|-4.783768|48.359673|7.5|247.7|1456066092|R_01
190|-4.78395|48.35968|11.6|52.5|1454759931|R_01
191|-4.781623|48.359684|8.2|118.3|1450716374|R_01
192|-4.783817|48.359688|9.1|230.5|1451224047|R_01
193|-4.783932|48.359695|10.6|235.1|1452849978|R_01
194|-4.783962|48.359715|10.7|237.3|1447519558|R_01
195|-4.782115|48.35977|6.8|117.5|1451407731|R_01
196|-4.780364|48.35978|2.1|332.4|1446483514|R_01
197|-4.78387|48.359787|7.5|37.9|1458664709|R_01
198|-4.78378|48.3598|8|43.2|1455727718|R_01
199|-4.781853|48.35982|5.9|274.3|1454248108|R_01
200|-4.792654|48.359882|13.5|302|1457109490|R_01
201|-4.782945|48.359947|6.2|57.9|1453394784|R_01
202|-4.783721|48.359966|9.2|61|1453740269|R_01
