,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
3837,367164050,2023-01-01T00:00:02,41.88488,-87.60076,7.8,15.6,511.0,CAP STREETER,,WCX3809,60.0,0.0,19.0,7.0,,6.0,A
3838,367382320,2023-01-01T00:01:13,29.64647,-93.14302,0.0,188.1,289.0,ODYSSEA CHAMPION,IMO9535060,WDE6600,90.0,0.0,58.0,12.0,4.0,60.0,A
3839,366972410,2023-01-01T00:00:06,29.77237,-95.10197,0.0,245.3,511.0,D W GILLIS,,WCP9623,31.0,0.0,12.0,5.0,,57.0,A
3840,367490860,2023-01-01T00:00:07,28.40867,-80.60051,0.0,360.0,511.0,VICTORY I,IMO8898855,WDF8050,60.0,0.0,94.0,19.0,,69.0,A
3841,367725890,2023-01-01T00:00:08,40.71191,-74.04919,0.0,360.0,511.0,SANDY G,,WDI7154,31.0,11.0,17.0,5.0,,52.0,A
3842,367584340,2023-01-01T00:00:14,29.19844,-92.67644,2.6,275.2,511.0,CAPT TRUONG PHI,IMO9241877,WDG9102,30.0,,25.0,7.0,,,B
3843,367689620,2023-01-01T00:01:01,27.60283,-82.9035,23.4,53.4,49.0,MANATEE,,WDI3562,50.0,0.0,16.0,,,50.0,A
3844,367145870,2023-01-01T00:01:01,41.61525,-70.29105,32.9,351.4,353.0,IYANOUGH,IMO9375719,WDD4527,60.0,9.0,46.0,11.0,1.6,49.0,A
3845,368134020,2023-01-01T00:01:02,30.46597,-91.19502,0.0,40.8,358.0,KING,,WDL4705,52.0,5.0,36.0,11.0,2.8,57.0,A
3846,338174439,2023-01-01T00:00:48,33.61941,-117.89466,0.0,192.2,511.0,ANN-ELYSE,,,37.0,,,,,,B
3847,563141900,2023-01-01T00:00:03,24.43265,-83.55318,12.0,308.1,307.0,NORD ANDROMEDA,IMO9929390,9V7206,70.0,0.0,229.0,32.0,8.6,70.0,A
3848,368066540,2023-01-01T00:00:02,39.93303,-75.14122,0.1,360.0,511.0,FBINDEPENDENCE,,WDK5613,51.0,0.0,20.0,6.0,0.0,51.0,A
3849,367743660,2023-01-01T00:00:02,29.54012,-90.76083,1.0,23.4,511.0,EVELYN JAMES,,WDI8937,31.0,0.0,,,,57.0,A
3850,338333597,2023-01-01T00:00:04,47.27126,-122.37456,0.0,229.1,511.0,AURORA,IMO0000000,,36.0,,12.0,3.0,,,B
3851,367590460,2023-01-01T00:00:00,30.40013,-81.43248,0.0,122.7,304.0,SUN TRADER,,WDG9703,31.0,0.0,17.0,,,52.0,A
3852,366954160,2023-01-01T00:00:07,30.38788,-91.21643,0.0,275.4,511.0,STONE FUELER,,WBS3206,31.0,0.0,19.0,7.0,,57.0,A
3853,368176690,2023-01-01T00:00:08,26.75567,-80.04593,0.0,360.0,511.0,REAL GONE DADDY,IMO0000000,WDL9177,36.0,,15.0,5.0,,,B
3854,367470580,2023-01-01T00:00:00,30.68375,-88.03765,0.0,98.4,0.0,SAN BROOKLYN,,WDF6095,31.0,12.0,21.0,9.0,,52.0,A
3855,316033381,2023-01-01T00:00:07,49.12413,-123.1879,0.0,360.0,511.0,VENTUROUS,IMO0000000,,30.0,,19.0,7.0,,,B
3856,338926433,2023-01-01T00:00:03,18.45982,-66.11528,0.0,350.4,268.0,CG JOSEPH DOYLE,,,55.0,0.0,46.0,7.0,3.0,55.0,A
3857,367375440,2023-01-01T00:00:08,41.10145,-69.27627,3.5,25.5,511.0,RESILIENT,IMO8939013,WDE6071,30.0,15.0,25.0,7.0,,30.0,A
3858,319160300,2023-01-01T00:00:15,25.77207,-80.14213,0.0,360.0,511.0,ONYX,IMO0000000,ZGPG2,37.0,,34.0,7.0,,,B
3859,368061020,2023-01-01T00:00:08,40.70447,-73.97599,0.0,303.8,292.0,GOLDEN NARROWS,,WDK5033,0.0,0.0,28.0,9.0,0.0,0.0,A
3860,338302402,2023-01-01T00:00:19,30.02652,-90.11814,0.0,352.7,511.0,PASSAGE,IMO0000000,NONE,36.0,,9.0,2.0,,,B
3861,374113000,2023-01-01T00:01:02,29.72657,-95.26079,4.7,75.0,84.0,MEIYU,IMO9854583,3FQD7,70.0,0.0,199.0,32.0,6.9,70.0,A
3862,367084080,2023-01-01T00:00:20,37.83933,-122.30932,0.0,360.0,511.0,KINSHIP,,WDJ5654,37.0,,15.0,4.0,,,B
3863,255806038,2023-01-01T00:01:02,34.90012,-75.31057,23.8,41.7,43.0,NORTHERN JUBILEE,IMO9450337,CQIQ5,70.0,0.0,333.0,43.0,14.5,71.0,A
3864,311492000,2023-01-01T00:00:11,27.65607,-82.60636,15.3,216.6,217.0,SERENADE OF THE SEAS,IMO9228344,C6FV8,60.0,0.0,293.0,32.0,8.5,60.0,A
3865,367730910,2023-01-01T00:00:10,29.70374,-95.01928,0.0,228.9,229.0,DAVID B,IMO9794197,WDI7661,31.0,5.0,24.0,,,52.0,A
3866,366986850,2023-01-01T00:00:11,41.32034,-88.87982,102.3,360.0,172.0,BECKY ANN,,WDC2039,31.0,5.0,18.0,7.0,,31.0,A
3867,367353110,2023-01-01T00:00:59,26.4958,-88.94433,14.3,292.0,294.0,PELICAN STATE,IMO9408102,WDE4433,80.0,0.0,183.0,32.0,12.8,80.0,A
3868,367657110,2023-01-01T00:00:28,28.81731,-90.28165,10.5,207.5,207.0,PECAN ISLAND,IMO9730323,WDH8352,90.0,0.0,95.0,20.0,6.8,70.0,A
3869,367332030,2023-01-01T00:00:29,46.81065,-90.81191,0.0,269.3,511.0,BAYFIELD,,WDE2959,60.0,,34.0,13.0,,,B
3870,367360240,2023-01-01T00:00:32,27.42448,-82.66701,0.0,321.1,511.0,HOLODECK 3,,WDE4964,37.0,,,,,,B
3871,368073760,2023-01-01T00:00:30,35.02969,-76.68149,0.0,341.3,511.0,FREE FALLIN,IMO0000000,WDK6357,36.0,,16.0,5.0,,,B
3872,367354540,2023-01-01T00:01:08,38.53973,-90.25042,0.0,360.0,511.0,CUMBERLAND EXPRESS,,WDE4537,31.0,0.0,21.0,9.0,,52.0,A
3873,311000854,2023-01-01T00:00:11,34.97908,-120.82462,4.0,226.9,217.0,FUGRO SUPPORTER,IMO8518364,C6EC3,90.0,3.0,76.0,13.0,6.5,90.0,A
3874,367427650,2023-01-01T00:01:11,37.80689,-122.40413,0.0,0.0,511.0,NINA'S DANDY,,WCZ5647,60.0,0.0,39.0,12.0,,60.0,A
3875,338254261,2023-01-01T00:00:17,32.77566,-79.84616,0.0,76.6,511.0,CHUBBY HUBBY,,,37.0,,,,,,B
3876,368113430,2023-01-01T00:00:03,29.93633,-90.00223,0.0,214.0,303.0,BRANDON T. PASENTINE,,WDL2583,32.0,12.0,32.0,10.0,2.8,31.0,A
